,Restaurant,Latitude,Longitude,URL
40,Burger Beast by Chef Carlo Miguel - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/burger-beast-by-chef-carlo-miguel-ust-available-for-long-distance-delivery-delivery/2-CY5GJP3XPBAWRT
41,Rice Rocket - UST [Available for LONG-DISTANCE DELIVERY],14.611486666666668,120.9880634,https://food.grab.com/ph/en/restaurant/rice-rocket-ust-available-for-long-distance-delivery-delivery/2-CZNFTCBYL4A2KA
42,Korean To Go - UST [Available for LONG DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/korean-to-go-ust-available-for-long-distance-delivery-delivery/2-C221TAUYDFKGLX
43,Calorie Club - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/calorie-club-ust-available-for-long-distance-delivery-delivery/2-CYVAEU2BALJ2TX
44,Ichiban1 - Delos Santos [Available for LONG-DISTANCE DELIVERY],14.60338182,120.9907405,https://food.grab.com/ph/en/restaurant/ichiban1-delos-santos-available-for-long-distance-delivery-delivery/2-C233G25XJT2WA2
45,Burger Nation - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/burger-nation-ust-available-for-long-distance-delivery-delivery/2-C2VEGFMHNKUARA
46,Grub King - Big Scoop [Available for LONG-DISTANCE DELIVERY],14.5968285,120.995275,https://food.grab.com/ph/en/restaurant/grub-king-big-scoop-available-for-long-distance-delivery-delivery/2-C2VEJKC3NEATRE
47,Super Chicken Tenders - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/super-chicken-tenders-ust-available-for-long-distance-delivery-delivery/2-CYWUG2B1AXA1FA
48,My Sushi Bake! - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/my-sushi-bake-ust-available-for-long-distance-delivery-delivery/2-C2DWFBCWSAMKN2
49,Tastes from the Greens - Tondo [Available for LONG-DISTANCE DELIVERY],14.607042,120.9668263,https://food.grab.com/ph/en/restaurant/tastes-from-the-greens-tondo-available-for-long-distance-delivery-delivery/2-C2LWLNLBJNLDVX
50,24/7 Super Healthy - UST [Available for LONG-DISTANCE DELIVERY],14.611618,120.9877901,https://food.grab.com/ph/en/restaurant/24-7-super-healthy-ust-available-for-long-distance-delivery-delivery/2-CYVAEUXJGRABA6
51,Tita's Turon Atbp. - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/tita-s-turon-atbp-ust-available-for-long-distance-delivery-delivery/2-CY3KEXATTTBBKA
52,Angel's Sizzling - Delos Santos Street [Available for LONG-DISTANCE DELIVERY],14.6033922,120.9907382,https://food.grab.com/ph/en/restaurant/angel-s-sizzling-delos-santos-street-available-for-long-distance-delivery-delivery/2-C23ZN3NYEBJKL6
53,Happy Thirstday - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.60737267432711,120.98781854232952,https://food.grab.com/ph/en/restaurant/happy-thirstday-sampaloc-available-for-long-distance-delivery-delivery/2-C2NXGFKDPEEACE
54,Seoulmates by Alyssa & Kiefer - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/seoulmates-by-alyssa-kiefer-ust-available-for-long-distance-delivery-delivery/2-C2WEVPDAANLWJX
55,Chef Carlo’s Country Chicken - UST [Available for LONG-DISTANCE DELIVERY],14.61171,120.9879785,https://food.grab.com/ph/en/restaurant/chef-carlo%E2%80%99s-country-chicken-ust-available-for-long-distance-delivery-delivery/2-C2TUKFATWB6ANE
56,Lugaw Pilipinas - Earnshaw [Available for LONG-DISTANCE DELIVERY],14.607753,120.993373,https://food.grab.com/ph/en/restaurant/lugaw-pilipinas-earnshaw-available-for-long-distance-delivery-delivery/2-C2KDGA6GMBXKVE
57,99 Peso Wings - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/99-peso-wings-ust-available-for-long-distance-delivery-delivery/2-CY5HJFWZA6LBBA
58,Bolzico Beef To Go by CloudEats - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/bolzico-beef-to-go-by-cloudeats-ust-available-for-long-distance-delivery-delivery/2-C2TAJJ5GSFWKNE
59,99 Peso Rice Bowls To Go - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/99-peso-rice-bowls-to-go-ust-available-for-long-distance-delivery-delivery/2-CYVGEUCHNP4KPE
60,Get Baked! - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/get-baked-ust-available-for-long-distance-delivery-delivery/2-CZLKLZAFBFXFKA
61,Baked Sushi by Aj & Gee - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.614689,120.977246,https://food.grab.com/ph/en/restaurant/baked-sushi-by-aj-gee-sta-cruz-available-for-long-distance-delivery-delivery/2-C2LYJN4DKCMKNT
62,Kusina ni Angeline - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/kusina-ni-angeline-ust-available-for-long-distance-delivery-delivery/2-C2WYLRA3EX6DAJ
63,The Norwoods' Aloha Eats - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/the-norwoods-aloha-eats-ust-available-for-long-distance-delivery-delivery/2-C2UVEYNGV8NXL6
64,Jessie's Sushi - Biak na Bato Manila [Available for LONG-DISTANCE DELIVERY],14.614708433333334,120.977315,https://food.grab.com/ph/en/restaurant/jessie-s-sushi-biak-na-bato-manila-available-for-long-distance-delivery-delivery/2-CZMWV7LCJFNAPE
65,DAKS Shawarma by Boys Night Out - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/daks-shawarma-by-boys-night-out-ust-available-for-long-distance-delivery-delivery/2-C2LGR642KAUJLA
66,Sushi Meets Pasta - Manila [Available for LONG-DISTANCE DELIVERY],14.6159913,120.9776081,https://food.grab.com/ph/en/restaurant/sushi-meets-pasta-manila-available-for-long-distance-delivery-delivery/2-C2LBKBCWGNNDEN
67,49 Peso Street Food - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/49-peso-street-food-ust-available-for-long-distance-delivery-delivery/2-CY43RAEDNYVFPA
68,Lucky 88 Bowls - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/lucky-88-bowls-ust-available-for-long-distance-delivery-delivery/2-C2MZBANYCNCGCN
69,Mr. Mediterranean - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/mr-mediterranean-ust-available-for-long-distance-delivery-delivery/2-CZAWCXXCDFJGJX
70,Pasta Italiana - Biak na Bato [Available for LONG-DISTANCE DELIVERY],14.614689,120.977246,https://food.grab.com/ph/en/restaurant/pasta-italiana-biak-na-bato-available-for-long-distance-delivery-delivery/2-C2LALAEXJZAULN
71,MAFS Delivery - Lardizabal Street [Available for LONG-DISTANCE DELIVERY],14.60169945,120.9951903,https://food.grab.com/ph/en/restaurant/mafs-delivery-lardizabal-street-available-for-long-distance-delivery-delivery/2-C2DWV2ABUETHUE
72,Crazy Chops - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.6007979,120.9911282,https://food.grab.com/ph/en/restaurant/crazy-chops-sampaloc-available-for-long-distance-delivery-delivery/2-CZMVEKT3CCBJJN
73,Wicked Tacos - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/wicked-tacos-ust-available-for-long-distance-delivery-delivery/2-C2KCNVMVAAEWKE
74,Mexi-ko: Fil Mex Kantina - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/mexi-ko-fil-mex-kantina-ust-available-for-long-distance-delivery-delivery/2-C2JZFGBCETJEEE
75,Citystate Hotel - Quezon Boulevard,14.599413933483214,120.9841315,https://food.grab.com/ph/en/restaurant/citystate-hotel-quezon-boulevard-delivery/2-CY6BDFWDEU3DJ6
76,Rice and Shine - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/rice-and-shine-ust-available-for-long-distance-delivery-delivery/2-CYVAEU23V7M1E6
77,Wonder Wingz Around The World - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/wonder-wingz-around-the-world-ust-available-for-long-distance-delivery-delivery/2-CYTZBGMDL6NWRJ
78,Milk Tea Bar - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/milk-tea-bar-ust-available-for-long-distance-delivery-delivery/2-C2NCSFBXVBJXUA
79,Seafood Mix - Lardizabal [Available for LONG-DISTANCE DELIVERY],14.601794970048246,120.99519927116636,https://food.grab.com/ph/en/restaurant/seafood-mix-lardizabal-available-for-long-distance-delivery-delivery/2-C2VXPBUEL7C1VJ
80,Jheralds Delicious Delight - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.605187,120.99877,https://food.grab.com/ph/en/restaurant/jheralds-delicious-delight-sampaloc-available-for-long-distance-delivery-delivery/2-C2L2V8BWJ74ZJE
81,99 Peso Sulit Chicken - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/99-peso-sulit-chicken-ust-available-for-long-distance-delivery-delivery/2-CYVERF5UAP4BC2
82,Mr. Lugaw - Gastambide Street [Available for LONG-DISTANCE DELIVERY],14.6008133,120.9911537,https://food.grab.com/ph/en/restaurant/mr-lugaw-gastambide-street-available-for-long-distance-delivery-delivery/PHGFSTI000001d2
83,A-Meal-Ya's Family Favorites - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/a-meal-ya-s-family-favorites-ust-available-for-long-distance-delivery-delivery/2-C2EBEFKGAN4ATN
84,Seoul Healthy! - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/seoul-healthy-ust-available-for-long-distance-delivery-delivery/2-C23BGBUWTT6TJT
85,Inihaw Atbp. - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/inihaw-atbp-ust-available-for-long-distance-delivery-delivery/2-CY43R2XJCNDVSA
86,Gemma's Chx Wings - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.614952061293494,120.97723781349106,https://food.grab.com/ph/en/restaurant/gemma-s-chx-wings-sta-cruz-available-for-long-distance-delivery-delivery/2-C2VEFFU3CGL1AN
87,Vista Hotel and Restaurant - Recto Street,14.6038780625,120.9812034,https://food.grab.com/ph/en/restaurant/vista-hotel-and-restaurant-recto-street-delivery/2-CY4YGT62L6A3V2
88,Kung Pow Express - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/kung-pow-express-ust-available-for-long-distance-delivery-delivery/2-C2UACJEUPAJHTA
89,24/7 Super Chicken - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/24-7-super-chicken-ust-available-for-long-distance-delivery-delivery/2-CYWUG2B1JJ33EA
90,Urbanitea - Earnshaw Espana,14.6096166,120.9933676,https://food.grab.com/ph/en/restaurant/urbanitea-earnshaw-espana-delivery/2-C2E3AEEAKF6KAE
91,Healthy & Beyond - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/healthy-beyond-ust-available-for-long-distance-delivery-delivery/2-CYVAEU2HGA3HA2
92,Tenders To Go - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/tenders-to-go-ust-available-for-long-distance-delivery-delivery/2-CYVXAFJJVXNUAJ
93,Sunsal Chicken - Lardizabal Street [Available for LONG-DISTANCE DELIVERY],14.60169945,120.9951903,https://food.grab.com/ph/en/restaurant/sunsal-chicken-lardizabal-street-available-for-long-distance-delivery-delivery/2-C2TXBBEHCXETN6
94,Bubble X Tea - UST [Available for LONG-DISTANCE DELIVERY],14.611589261386,120.987806,https://food.grab.com/ph/en/restaurant/bubble-x-tea-ust-available-for-long-distance-delivery-delivery/2-CYTZBGNCVBWXFA
